route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
3-REVY,4637,2369624:11163446:11173598,Big Eddy,24640,11173598,1
1-REVY,4637,2369615:11164353:11173598,Southside - Hospital,16993,11173598,1
1-REVY,4637,2369622:11164612:11173598,Southside - Hospital,16993,11173598,1
3-REVY,4637,2369616:11164836:11173598,Big Eddy,24640,11173598,1
1-REVY,4637,2369614:11165393:11173598,Southside - Hospital,16993,11173598,1
1-REVY,4637,2369621:11165553:11173598,Southside - Hospital,16993,11173598,1
3-REVY,4637,2369618:11165825:11173598,Big Eddy,24640,11173598,1
3-REVY,4637,2369619:11165944:11173598,Big Eddy,24640,11173598,1
3-REVY,4637,2369628:11168773:11173598,Big Eddy,24640,11173598,1
1-REVY,4637,2369613:11168954:11173598,Southside - Hospital,16993,11173598,1
3-REVY,4637,2369612:11168967:11173598,Big Eddy,24640,11173598,1
1-REVY,4637,2369625:11169077:11173598,Southside - Hospital,16993,11173598,1
1-REVY,4637,2369620:11170165:11173598,Southside - Hospital,16993,11173598,1
3-REVY,4637,2369626:11170352:11173598,Big Eddy,24640,11173598,1
3-REVY,4637,2369617:11170814:11173598,Big Eddy,24640,11173598,1
3-REVY,4637,2369623:11172217:11173598,Big Eddy,24640,11173598,1
1-REVY,4637,2369627:11172553:11173598,Southside - Hospital,16993,11173598,1
5-REVY,4821,2369384:11632294:11654434,Revelstoke Mountain Resort,43790,11654434,0
5-REVY,4815,2369306:11632440:11653669,Revelstoke Mountain Resort,43807,11653669,0
5-REVY,4815,2369307:11632665:11655272,Hillcrest Hotel - via Columbia Park,30622,11655272,1
5-REVY,4815,2369343:11632703:11654377,Revelstoke Mountain Resort,43847,11654377,0
5-REVY,4815,2369349:11632940:11654759,Hillcrest Hotel - via Columbia Park,30622,11654759,1
5-REVY,4815,2369300:11633038:11653669,Revelstoke Mountain Resort,43807,11653669,0
5-REVY,4815,2369301:11633134:11655272,Hillcrest Hotel - via Columbia Park,30622,11655272,1
5-REVY,4819,2369316:11633426:11654246,Revelstoke Mountain Resort,43807,11654246,0
5-REVY,4821,2369316:11633426:11654434,Revelstoke Mountain Resort,43807,11654434,0
5-REVY,4815,2369391:11633567:11654377,Revelstoke Mountain Resort,43765,11654377,0
5-REVY,4815,2369333:11633699:11654894,Hillcrest Hotel - via Columbia Park,30622,11654894,1
5-REVY,4821,2369387:11633701:11654434,to City only,43800,11654434,1
5-REVY,4815,2369389:11634317:11654894,Hillcrest Hotel - via Columbia Park,30622,11654894,1
5-REVY,4815,2369347:11634420:11655077,Hillcrest Hotel - via Columbia Park,30622,11655077,1
5-REVY,4640,2369450:11634974:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4819,2369319:11635193:11654246,Hillcrest Hotel - via Columbia Park,30622,11654246,1
5-REVY,4821,2369319:11635193:11654434,Hillcrest Hotel - via Columbia Park,30622,11654434,1
5-REVY,4815,2369295:11635217:11655272,Revelstoke Mountain Resort,43807,11655272,0
5-REVY,4815,2369342:11635284:11653669,Revelstoke Mountain Resort,43847,11653669,0
5-REVY,4815,2369337:11635330:11654894,Hillcrest Hotel - via Columbia Park,45612,11654894,1
5-REVY,4815,2369338:11635807:11654894,Hillcrest Hotel - via Columbia Park,30622,11654894,1
5-REVY,4815,2369350:11636152:11655077,Hillcrest Hotel - via Columbia Park,30622,11655077,1
5-REVY,4815,2369335:11636375:11654894,Hillcrest Hotel - via Columbia Park,30622,11654894,1
5-REVY,4815,2371203:11636694:11655005,Revelstoke Mountain Resort,43765,11655005,0
5-REVY,4815,2369345:11636727:11655045,Revelstoke Mountain Resort,43765,11655045,0
5-REVY,4640,2369441:11636916:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4815,2369296:11637355:11655272,Revelstoke Mountain Resort,43807,11655272,0
5-REVY,4640,2369447:11637531:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4815,2369331:11637612:11655272,Hillcrest Hotel - via Columbia Park,30622,11655272,1
5-REVY,4815,2369303:11637728:11655272,Revelstoke Mountain Resort,43807,11655272,0
5-REVY,4640,2369457:11637733:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4815,2369355:11637738:11654759,Hillcrest Hotel - via Columbia Park,30622,11654759,1
5-REVY,4815,2369414:11637765:11653752,Revelstoke Mountain Resort,43807,11653752,0
5-REVY,4640,2369442:11637831:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4815,2369351:11638181:11655005,Hillcrest Hotel - via Columbia Park,30622,11655005,1
5-REVY,4815,2369385:11638221:11655272,Revelstoke Mountain Resort,43790,11655272,0
5-REVY,4815,2369328:11638314:11655272,Revelstoke Mountain Resort,43807,11655272,0
5-REVY,4815,2369346:11638389:11653752,Revelstoke Mountain Resort,43765,11653752,0
5-REVY,4640,2369459:11639254:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4815,2369329:11639847:11655272,Hillcrest Hotel - via Columbia Park,30622,11655272,1
5-REVY,4640,2369445:11639977:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4640,2369439:11640134:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4815,2369299:11640272:11655272,Revelstoke Mountain Resort,43807,11655272,0
5-REVY,4815,2369353:11640406:11655077,Hillcrest Hotel - via Columbia Park,30622,11655077,1
5-REVY,4815,2369305:11640901:11653669,Revelstoke Mountain Resort,43807,11653669,0
5-REVY,4815,2369326:11641205:11653752,Revelstoke Mountain Resort,43807,11653752,0
5-REVY,4815,2371204:11641442:11655005,to City only,45581,11655005,1
5-REVY,4640,2369454:11642019:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4819,2369320:11642286:11654246,Hillcrest Hotel - via Columbia Park,30622,11654246,1
5-REVY,4821,2369320:11642286:11654434,Hillcrest Hotel - via Columbia Park,30622,11654434,1
5-REVY,4815,2369310:11642414:11653669,Hillcrest Hotel - via Columbia Park,30622,11653669,1
5-REVY,4815,2369388:11642563:11654894,Revelstoke Mountain Resort,43807,11654894,0
5-REVY,4640,2369453:11642943:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4640,2369452:11643074:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4640,2369444:11643098:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4815,2369341:11643222:11655045,Revelstoke Mountain Resort,43847,11655045,0
5-REVY,4815,2369332:11643463:11654894,Revelstoke Mountain Resort,43807,11654894,0
5-REVY,4815,2369312:11643532:11653669,Revelstoke Mountain Resort,43807,11653669,0
5-REVY,4815,2369354:11643590:11655005,Hillcrest Hotel - via Columbia Park,30622,11655005,1
5-REVY,4815,2369325:11645017:11653669,Hillcrest Hotel - via Columbia Park,30622,11653669,1
5-REVY,4815,2369302:11645023:11655272,Hillcrest Hotel - via Columbia Park,30622,11655272,1
5-REVY,4640,2369435:11645129:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4815,2369336:11645433:11654894,to City only,45601,11654894,0
5-REVY,4815,2369309:11645619:11653669,Hillcrest Hotel - via Columbia Park,30622,11653669,1
5-REVY,4819,2369315:11645710:11654246,Revelstoke Mountain Resort,43807,11654246,0
5-REVY,4821,2369315:11645710:11654434,Revelstoke Mountain Resort,43807,11654434,0
5-REVY,4815,2369348:11645908:11655005,Hillcrest Hotel - via Columbia Park,30622,11655005,1
5-REVY,4640,2369451:11645936:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4815,2369340:11645986:11654377,Revelstoke Mountain Resort,43847,11654377,0
5-REVY,4815,2369356:11646165:11655077,Hillcrest Hotel - via Columbia Park,30622,11655077,1
5-REVY,4819,2369321:11646296:11654246,Hillcrest Hotel - via Columbia Park,30622,11654246,1
5-REVY,4821,2369321:11646296:11654434,Hillcrest Hotel - via Columbia Park,30622,11654434,1
5-REVY,4815,2369304:11646349:11653669,Revelstoke Mountain Resort,43807,11653669,0
5-REVY,4640,2369443:11646554:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4815,2369364:11646813:11654759,Hillcrest Hotel - via Columbia Park,30622,11654759,1
5-REVY,4819,2369314:11646859:11654246,Revelstoke Mountain Resort,43807,11654246,0
5-REVY,4821,2369314:11646859:11654434,Revelstoke Mountain Resort,43807,11654434,0
5-REVY,4819,2369313:11646997:11654246,Revelstoke Mountain Resort,43807,11654246,0
5-REVY,4821,2369313:11646997:11654434,Revelstoke Mountain Resort,43807,11654434,0
5-REVY,4815,2369297:11647050:11653669,Revelstoke Mountain Resort,43807,11653669,0
5-REVY,4815,2369334:11647051:11654894,Revelstoke Mountain Resort,43807,11654894,0
5-REVY,4821,2369323:11647182:11654434,Revelstoke Mountain Resort,43807,11654434,0
5-REVY,4815,2369298:11647624:11653752,Revelstoke Mountain Resort,43807,11653752,0
5-REVY,4815,2369330:11647913:11655272,Revelstoke Mountain Resort,43807,11655272,0
5-REVY,4815,2369394:11648113:11655045,Revelstoke Mountain Resort,43847,11655045,0
5-REVY,4815,2369318:11648214:11653669,Hillcrest Hotel - via Columbia Park,30622,11653669,1
5-REVY,4815,2369311:11648788:11653669,Revelstoke Mountain Resort,43807,11653669,0
5-REVY,4640,2369446:11649265:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4640,2369436:11649373:11654803,Revelstoke Mountain Resort,43807,11654803,0
5-REVY,4815,2369308:11649407:11653669,Hillcrest Hotel - via Columbia Park,30622,11653669,1
5-REVY,4815,2369339:11649420:11654894,Revelstoke Mountain Resort,43807,11654894,0
5-REVY,4640,2369448:11649756:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4640,2369460:11650099:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4815,2369352:11650296:11654759,Hillcrest Hotel - via Columbia Park,30622,11654759,1
5-REVY,4815,2369327:11651136:11653752,Hillcrest Hotel - via Columbia Park,30622,11653752,1
5-REVY,4640,2369449:11651188:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4819,2369322:11651650:11654246,Hillcrest Hotel - via Columbia Park,30622,11654246,1
5-REVY,4821,2369322:11651650:11654434,Hillcrest Hotel - via Columbia Park,30622,11654434,1
5-REVY,4640,2369458:11651899:11654803,Hillcrest Hotel - via Columbia Park,30622,11654803,1
5-REVY,4815,2369317:11652808:11653669,Hillcrest Hotel - via Columbia Park,30622,11653669,1
