trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2369624:11163446:11173598,16:00:00,16:00:00,156011,1,0,,0,0,1
2369624:11163446:11173598,16:01:00,16:01:00,156009,2,278,,0,0,0
2369624:11163446:11173598,16:02:00,16:02:00,156070,3,801,,0,0,0
2369624:11163446:11173598,16:03:00,16:03:00,156064,4,1479,,0,0,1
2369624:11163446:11173598,16:03:00,16:03:00,156065,5,1711,,0,0,0
2369624:11163446:11173598,16:04:00,16:04:00,156080,6,2059,,0,0,0
2369624:11163446:11173598,16:07:00,16:07:00,156020,7,4027,,0,0,1
2369624:11163446:11173598,16:08:00,16:08:00,156021,8,4399,,0,0,0
2369624:11163446:11173598,16:08:00,16:08:00,156022,9,4732,,0,0,0
2369624:11163446:11173598,16:09:00,16:09:00,156023,10,5130,,0,0,0
2369624:11163446:11173598,16:09:00,16:09:00,156071,11,5397,,0,0,0
2369624:11163446:11173598,16:10:00,16:10:00,156024,12,5726,,0,0,1
2369624:11163446:11173598,16:11:00,16:11:00,156069,13,6351,,0,0,0
2369624:11163446:11173598,16:14:00,16:14:00,156079,14,8066,,0,0,0
2369624:11163446:11173598,16:15:00,16:15:00,156018,15,8614,,0,0,0
2369624:11163446:11173598,16:15:00,16:15:00,156017,16,8907,,0,0,0
2369624:11163446:11173598,16:16:00,16:16:00,156015,17,9332,,0,0,1
2369624:11163446:11173598,16:17:00,16:17:00,156014,18,9784,,0,0,0
2369624:11163446:11173598,16:18:00,16:18:00,156012,19,10003,,0,0,0
2369624:11163446:11173598,16:19:00,16:19:00,156010,20,10227,,0,0,0
2369624:11163446:11173598,16:20:00,16:20:00,156011,21,10591,,0,0,1
2369615:11164353:11173598,10:20:00,10:20:00,156011,1,0,,0,0,1
2369615:11164353:11173598,10:21:00,10:21:00,156009,2,278,,0,0,0
2369615:11164353:11173598,10:22:00,10:22:00,156013,3,502,,0,0,0
2369615:11164353:11173598,10:23:00,10:23:00,156025,4,810,,0,0,1
2369615:11164353:11173598,10:24:00,10:24:00,156062,5,1416,,0,0,0
2369615:11164353:11173598,10:25:00,10:25:00,156028,6,1699,,0,0,0
2369615:11164353:11173598,10:26:00,10:26:00,156098,7,2062,,0,0,0
2369615:11164353:11173598,10:27:00,10:27:00,156036,8,2641,,0,0,0
2369615:11164353:11173598,10:28:00,10:28:00,156038,9,2937,,0,0,1
2369615:11164353:11173598,10:29:00,10:29:00,156041,10,3424,,0,0,0
2369615:11164353:11173598,10:30:00,10:30:00,156042,11,3662,,0,0,0
2369615:11164353:11173598,10:30:00,10:30:00,156043,12,3823,,0,0,0
2369615:11164353:11173598,10:31:00,10:31:00,156046,13,4050,,0,0,0
2369615:11164353:11173598,10:32:00,10:32:00,156048,14,4561,,0,0,1
2369615:11164353:11173598,10:32:00,10:32:00,156049,15,4820,,0,0,0
2369615:11164353:11173598,10:33:00,10:33:00,156050,16,5130,,0,0,0
2369615:11164353:11173598,10:35:00,10:35:00,156052,17,6057,,0,0,0
2369615:11164353:11173598,10:35:00,10:35:00,156053,18,6458,,0,0,0
2369615:11164353:11173598,10:36:00,10:36:00,156054,19,6767,,0,0,0
2369615:11164353:11173598,10:36:00,10:36:00,156063,20,6869,,0,0,1
2369615:11164353:11173598,10:37:00,10:37:00,156055,21,7540,,0,0,0
2369615:11164353:11173598,10:38:00,10:38:00,156057,22,7981,,0,0,0
2369615:11164353:11173598,10:39:00,10:39:00,156058,23,8351,,0,0,1
2369615:11164353:11173598,10:40:00,10:40:00,156059,24,8714,,0,0,0
2369615:11164353:11173598,10:41:00,10:41:00,156051,25,9591,,0,0,0
2369615:11164353:11173598,10:42:00,10:42:00,156047,26,10279,,0,0,1
2369615:11164353:11173598,10:43:00,10:43:00,156045,27,10708,,0,0,0
2369615:11164353:11173598,10:44:00,10:44:00,156044,28,10886,,0,0,0
2369615:11164353:11173598,10:45:00,10:45:00,156040,29,11479,,0,0,0
2369615:11164353:11173598,10:46:00,10:46:00,156039,30,11683,,0,0,0
2369615:11164353:11173598,10:46:00,10:46:00,156037,31,11869,,0,0,1
2369615:11164353:11173598,10:47:00,10:47:00,156034,32,12229,,0,0,0
2369615:11164353:11173598,10:47:00,10:47:00,156035,33,12482,,0,0,0
2369615:11164353:11173598,10:48:00,10:48:00,156030,34,12741,,0,0,0
2369615:11164353:11173598,10:48:00,10:48:00,156029,35,12834,,0,0,0
2369615:11164353:11173598,10:49:00,10:49:00,156026,36,13183,,0,0,0
2369615:11164353:11173598,10:50:00,10:50:00,156025,37,13771,,0,0,1
2369615:11164353:11173598,10:52:00,10:52:00,156012,38,14177,,0,0,0
2369615:11164353:11173598,10:53:00,10:53:00,156010,39,14401,,0,0,0
2369615:11164353:11173598,10:55:00,10:55:00,156011,40,14765,,0,0,1
2369622:11164612:11173598,15:20:00,15:20:00,156011,1,0,,0,0,1
2369622:11164612:11173598,15:21:00,15:21:00,156009,2,278,,0,0,0
2369622:11164612:11173598,15:22:00,15:22:00,156013,3,502,,0,0,0
2369622:11164612:11173598,15:23:00,15:23:00,156025,4,810,,0,0,1
2369622:11164612:11173598,15:24:00,15:24:00,156062,5,1416,,0,0,0
2369622:11164612:11173598,15:25:00,15:25:00,156028,6,1699,,0,0,0
2369622:11164612:11173598,15:26:00,15:26:00,156098,7,2062,,0,0,0
2369622:11164612:11173598,15:27:00,15:27:00,156036,8,2641,,0,0,0
2369622:11164612:11173598,15:28:00,15:28:00,156038,9,2937,,0,0,1
2369622:11164612:11173598,15:29:00,15:29:00,156041,10,3424,,0,0,0
2369622:11164612:11173598,15:30:00,15:30:00,156042,11,3662,,0,0,0
2369622:11164612:11173598,15:30:00,15:30:00,156043,12,3823,,0,0,0
2369622:11164612:11173598,15:31:00,15:31:00,156046,13,4050,,0,0,0
2369622:11164612:11173598,15:32:00,15:32:00,156048,14,4561,,0,0,1
2369622:11164612:11173598,15:32:00,15:32:00,156049,15,4820,,0,0,0
2369622:11164612:11173598,15:33:00,15:33:00,156050,16,5130,,0,0,0
2369622:11164612:11173598,15:35:00,15:35:00,156052,17,6057,,0,0,0
2369622:11164612:11173598,15:35:00,15:35:00,156053,18,6458,,0,0,0
2369622:11164612:11173598,15:36:00,15:36:00,156054,19,6767,,0,0,0
2369622:11164612:11173598,15:36:00,15:36:00,156063,20,6869,,0,0,1
2369622:11164612:11173598,15:37:00,15:37:00,156055,21,7540,,0,0,0
2369622:11164612:11173598,15:38:00,15:38:00,156057,22,7981,,0,0,0
2369622:11164612:11173598,15:39:00,15:39:00,156058,23,8351,,0,0,1
2369622:11164612:11173598,15:40:00,15:40:00,156059,24,8714,,0,0,0
2369622:11164612:11173598,15:41:00,15:41:00,156051,25,9591,,0,0,0
2369622:11164612:11173598,15:42:00,15:42:00,156047,26,10279,,0,0,1
2369622:11164612:11173598,15:43:00,15:43:00,156045,27,10708,,0,0,0
2369622:11164612:11173598,15:44:00,15:44:00,156044,28,10886,,0,0,0
2369622:11164612:11173598,15:45:00,15:45:00,156040,29,11479,,0,0,0
2369622:11164612:11173598,15:46:00,15:46:00,156039,30,11683,,0,0,0
2369622:11164612:11173598,15:46:00,15:46:00,156037,31,11869,,0,0,1
2369622:11164612:11173598,15:47:00,15:47:00,156034,32,12229,,0,0,0
2369622:11164612:11173598,15:47:00,15:47:00,156035,33,12482,,0,0,0
2369622:11164612:11173598,15:48:00,15:48:00,156030,34,12741,,0,0,0
2369622:11164612:11173598,15:48:00,15:48:00,156029,35,12834,,0,0,0
2369622:11164612:11173598,15:49:00,15:49:00,156026,36,13183,,0,0,0
2369622:11164612:11173598,15:50:00,15:50:00,156025,37,13771,,0,0,1
2369622:11164612:11173598,15:52:00,15:52:00,156012,38,14177,,0,0,0
2369622:11164612:11173598,15:53:00,15:53:00,156010,39,14401,,0,0,0
2369622:11164612:11173598,15:55:00,15:55:00,156011,40,14765,,0,0,1
2369616:11164836:11173598,09:55:00,09:55:00,156011,1,0,,0,0,1
2369616:11164836:11173598,09:56:00,09:56:00,156009,2,278,,0,0,0
2369616:11164836:11173598,09:57:00,09:57:00,156070,3,801,,0,0,0
2369616:11164836:11173598,09:58:00,09:58:00,156064,4,1479,,0,0,1
2369616:11164836:11173598,09:58:00,09:58:00,156065,5,1711,,0,0,0
2369616:11164836:11173598,09:59:00,09:59:00,156080,6,2059,,0,0,0
2369616:11164836:11173598,10:02:00,10:02:00,156020,7,4027,,0,0,1
2369616:11164836:11173598,10:03:00,10:03:00,156021,8,4399,,0,0,0
2369616:11164836:11173598,10:03:00,10:03:00,156022,9,4732,,0,0,0
2369616:11164836:11173598,10:04:00,10:04:00,156023,10,5130,,0,0,0
2369616:11164836:11173598,10:04:00,10:04:00,156071,11,5397,,0,0,0
2369616:11164836:11173598,10:05:00,10:05:00,156024,12,5726,,0,0,1
2369616:11164836:11173598,10:06:00,10:06:00,156069,13,6351,,0,0,0
2369616:11164836:11173598,10:09:00,10:09:00,156079,14,8066,,0,0,0
2369616:11164836:11173598,10:10:00,10:10:00,156018,15,8614,,0,0,0
2369616:11164836:11173598,10:10:00,10:10:00,156017,16,8907,,0,0,0
2369616:11164836:11173598,10:11:00,10:11:00,156015,17,9332,,0,0,1
2369616:11164836:11173598,10:12:00,10:12:00,156014,18,9784,,0,0,0
2369616:11164836:11173598,10:13:00,10:13:00,156012,19,10003,,0,0,0
2369616:11164836:11173598,10:14:00,10:14:00,156010,20,10227,,0,0,0
2369616:11164836:11173598,10:15:00,10:15:00,156011,21,10591,,0,0,1
2369614:11165393:11173598,09:10:00,09:10:00,156011,1,0,,0,0,1
2369614:11165393:11173598,09:11:00,09:11:00,156009,2,278,,0,0,0
2369614:11165393:11173598,09:12:00,09:12:00,156013,3,502,,0,0,0
2369614:11165393:11173598,09:13:00,09:13:00,156025,4,810,,0,0,1
2369614:11165393:11173598,09:14:00,09:14:00,156062,5,1416,,0,0,0
2369614:11165393:11173598,09:15:00,09:15:00,156028,6,1699,,0,0,0
2369614:11165393:11173598,09:16:00,09:16:00,156098,7,2062,,0,0,0
2369614:11165393:11173598,09:17:00,09:17:00,156036,8,2641,,0,0,0
2369614:11165393:11173598,09:18:00,09:18:00,156038,9,2937,,0,0,1
2369614:11165393:11173598,09:19:00,09:19:00,156041,10,3424,,0,0,0
2369614:11165393:11173598,09:20:00,09:20:00,156042,11,3662,,0,0,0
2369614:11165393:11173598,09:20:00,09:20:00,156043,12,3823,,0,0,0
2369614:11165393:11173598,09:21:00,09:21:00,156046,13,4050,,0,0,0
2369614:11165393:11173598,09:22:00,09:22:00,156048,14,4561,,0,0,1
2369614:11165393:11173598,09:22:00,09:22:00,156049,15,4820,,0,0,0
2369614:11165393:11173598,09:23:00,09:23:00,156050,16,5130,,0,0,0
2369614:11165393:11173598,09:25:00,09:25:00,156052,17,6057,,0,0,0
2369614:11165393:11173598,09:25:00,09:25:00,156053,18,6458,,0,0,0
2369614:11165393:11173598,09:26:00,09:26:00,156054,19,6767,,0,0,0
2369614:11165393:11173598,09:26:00,09:26:00,156063,20,6869,,0,0,1
2369614:11165393:11173598,09:27:00,09:27:00,156055,21,7540,,0,0,0
2369614:11165393:11173598,09:28:00,09:28:00,156057,22,7981,,0,0,0
2369614:11165393:11173598,09:29:00,09:29:00,156058,23,8351,,0,0,1
2369614:11165393:11173598,09:30:00,09:30:00,156059,24,8714,,0,0,0
2369614:11165393:11173598,09:31:00,09:31:00,156051,25,9591,,0,0,0
2369614:11165393:11173598,09:32:00,09:32:00,156047,26,10279,,0,0,1
2369614:11165393:11173598,09:33:00,09:33:00,156045,27,10708,,0,0,0
